"","fecha","sexonac","freq"
"528",2008-05-17,"F",2
"529",2008-05-17,"M",5
"530",2008-06-13,"M",2
"531",2008-06-16,"M",2
"532",2008-06-18,"F",3
"533",2008-06-19,"M",2
"534",2008-06-24,"M",2
"535",2008-06-29,"F",1
"536",2008-06-29,"M",1
"537",2008-07-08,"M",2
"538",2008-07-19,"M",2
"539",2008-08-13,"M",4
"540",2008-08-14,"M",1
"541",2008-08-15,"F",1
"542",2008-08-15,"M",3
"543",2008-08-16,"M",2
"544",2008-08-22,"F",2
"545",2008-09-03,"M",3
"546",2008-09-05,"M",2
"547",2008-09-17,"M",2
"548",2008-09-18,"M",2
"549",2008-09-20,"M",2
"550",2008-09-22,"M",2
"551",2008-09-24,"F",6
"552",2008-09-24,"M",2
"553",2008-09-30,"F",1
"554",2008-10-07,"M",1
"555",2008-10-21,"F",1
"556",2008-10-29,"M",6
"557",2008-10-31,"M",3
"558",2008-11-04,"M",14
"559",2008-11-05,"F",2
"560",2008-11-05,"M",8
"561",2008-11-06,"M",2
"562",2008-11-10,"F",2
"563",2008-11-14,"M",2
"564",2008-11-20,"M",2
"565",2008-11-21,"M",2
"566",2008-11-24,"F",2
"567",2008-11-28,"M",2
"568",2008-12-05,"M",4
"569",2008-12-08,"M",6
"570",2008-12-16,"M",1
"571",2008-12-29,"F",1
"572",2009-01-01,"M",1
"573",2009-01-06,"M",2
"574",2009-01-07,"M",1
"575",2009-01-13,"F",6
"576",2009-01-13,"M",4
"577",2009-01-14,"M",1
"578",2009-01-15,"F",2
"579",2009-01-15,"M",1
"580",2009-01-17,"M",1
"581",2009-01-20,"M",1
"582",2009-01-27,"M",2
"583",2009-01-28,"M",1
"584",2009-02-04,"M",1
"585",2009-02-07,"M",2
"586",2009-02-12,"M",2
"587",2009-02-13,"F",18
"588",2009-02-13,"M",70
"589",2009-02-24,"M",1
"590",2009-03-02,"F",2
"591",2009-03-02,"M",3
"592",2009-03-04,"M",2
"593",2009-03-06,"M",3
"594",2009-03-09,"M",2
"595",2009-03-12,"M",1
"596",2009-03-14,"M",1
"597",2009-03-15,"F",1
"598",2009-03-15,"M",1
"599",2009-03-16,"M",1
"600",2009-04-04,"F",1
"601",2009-04-04,"M",2
"602",2009-04-05,"M",3
"603",2009-04-14,"F",2
"604",2009-04-16,"F",2
"605",2009-04-16,"M",4
"606",2009-04-17,"F",1
"607",2009-04-22,"M",2
"608",2009-05-01,"M",7
"609",2009-05-03,"M",1
"610",2009-05-04,"F",1
"611",2009-05-04,"M",2
"612",2009-05-07,"M",1
"613",2009-05-09,"F",1
"614",2009-05-11,"F",2
"615",2009-05-13,"M",7
"616",2009-05-17,"F",2
"617",2009-05-18,"M",1
"618",2009-05-20,"M",1
"619",2009-05-23,"M",2
"620",2009-05-26,"M",4
"621",2009-05-31,"M",2
